precommits,consensus_address,consensus_pubkey
240553,bostromvalcons1djaa0t8r4xzf7qf8ndk9kdz58kj22pkygnlmc0,bostromvalconspub14xdjlugaplq04qlzljh6ymvvwvs03tgctd7qrxgu74znpxcelcqswqdntg
239767,bostromvalcons1dahhf6nuwul4d0uy9vfx7qm2skxp2geq6dfkvx,bostromvalconspub1q8rey6ls7lu0qsc923dve9rlx4up8vu27pnwnev4vq98x8lg9ves5e0e9c
239288,bostromvalcons16tnnsxadeajjhhxjxtqkad5pk5zqyal0leld5m,bostromvalconspub1xdyytfdytsrvkjhnkpn69efw7u20su6w3tkn0tv4yhdernvt349quxg0ll
239231,bostromvalcons1ng53a97lzjv3x6gt65z7q69sxk2jzeydk0xmlp,bostromvalconspub1f94emj696vp9awnrce5jcd46n3npcs63cq6s6rzyaucjas0dev3sugryfs
239154,bostromvalcons1pw74zhk9vz5euuhk9juda2wj9h86lucsgsalnh,bostromvalconspub1wzv0ae4kjzsevtdqhl7z6la0np08k4jgvg6z9cud7l3xpgjtupgqqkej4n
238937,bostromvalcons1t7z8x7urgfqdem8l5dftv5rg8ts7pus3qkzcpx,bostromvalconspub1adju2uxmhklcj6xw69d57e2028scy29h7286duh7ygedz5weudcqh38m3y
238545,bostromvalcons15447m4mfzqzl9f6pgcwrc6thhl3thujm8vqrxs,bostromvalconspub1kwu7nc4whm3d90cs0at38rum0yj7mtqt69gjr3ktrd3v69p4dwhshyzqrj
238522,bostromvalcons123p3dm3q3yw5nnfj4p5rz3kr9ekrdp8fk9har3,bostromvalconspub1musa6dcuh3py69yh6h6vfcqxdqj2kw920fdzfn8ncpf7j3k3cy6sf7ll9h
238509,bostromvalcons19zyxmle00xkd3prjyzl0m4xuyxpgl2xzs626y3,bostromvalconspub1tm7zwaw70jfsptqstfae62s4qekpvthmd7jqvzc9q0rkq67egmks36dww0
237761,bostromvalcons1sdqp8mm5gh4q7j0l06ypv4q9wrf80205g9l58n,bostromvalconspub1299scz45h89wppyz4w2lml7mz2ag0g82vpnqtzkf4xyew8zu476s5s9ldy
237578,bostromvalcons10lr3afxkvj4sq508u27vepythmuxhaxaprfuys,bostromvalconspub1zshf7zswjmkjghgryh8nnsngnq50037yffv8kz0nnnc8ez9llnyqq36vnp
236915,bostromvalcons1dg58dufy7sdyk5qz0t0vpypwclkvxhl7s9w9tc,bostromvalconspub14cata7xuhmwnn8d87ddnu4aewm0a0lvjvddhhd70uwevytcu7ndqhld470
233447,bostromvalcons1akpfmtw72w799yu74a7awjvwanmvp7y39rt0ll,bostromvalconspub1ejvx98fnh6fvd909tta76jd2xcgkd8gyku0ddwvcda3c5ya9allsggg8um
231503,bostromvalcons18dkyyfws8fnjavdvndrgumkyd5sun7k9hr5tmz,bostromvalconspub14383r8cped5s4jqaz8runfx8uygjgt0qvdwfuk46yhpsp84xcngqxwxva8
230579,bostromvalcons15reszyylrqrp3elk06vtqhtg607prej08ckq49,bostromvalconspub1puc5ukdqaw9vc9hnt7gfduhafdzsld6xrzw23y7a6u5z6c59u2fsl5pdfx
229605,bostromvalcons1a0nppdzns0u3sgcevcx2cxsz9unq528k0ge896,bostromvalconspub1vt67u7659kgrn6q0jd6redp8t00ck36h88sjm3rvfmeddggzmn9qmhqnuh
229587,bostromvalcons10gv2pdxvr6mt2jauqjdrve3ghva3tg7a5ntyrf,bostromvalconspub139xsjqlss2x77cdlzuj4kyjr9ta9njhhpeuvpdh3h2dg8u380z2qppd3lz
229275,bostromvalcons1va3ukv9jsnfcewpt43tkhcv6ycy88m38rpxm4w,bostromvalconspub1xjkf8z3jfdvamg77ncpetww2twrj8qcvl355axfpmldhlxeg6a0sysdy59
229159,bostromvalcons16j2hawxmn2rrf44pcnvmh6nzttzk73t33xqwwj,bostromvalconspub1pgvzuvjf49xspfm6g746ekwqnus4u09kxu943knjuaxd6fsw4hvqlxmyzw
223361,bostromvalcons1c0fxjqpdq4fuqejqycts8qllwgk0y5sp3ytmnd,bostromvalconspub1z4dnk3702wsrksnfsdv3adz97rzcysu8w7a3et2pyvswpce909hs6f3ut7
205135,bostromvalcons1uzvvgv2pfv36q7kapl73whd25swlgjdyw3avre,bostromvalconspub1e5vnx4cp33eht0xz7zjy70qt6nwq4874sr4580cm97p05gqsdr9sgu2nqr
178876,bostromvalcons1f9llht6v3e3c6q8pqkjp2ks55h6yxm2f0a9fmx,bostromvalconspub1upvuak6vwkqdzdmhd76wzxa6u7qp8yprad8pwna32zejrzt6rduqzf8fn4
178851,bostromvalcons1g802akc4wsvu6ugkpgqt5rcdrcnmy00k4wkuyn,bostromvalconspub162zrl7luwd7peyxlq7udw40xqp8a5wuv4fv8a9rj45u3mh05x4ms870euv
178383,bostromvalcons1asutzf3w9anhxyjtdjfckukr4d93k2ctevnu3u,bostromvalconspub1sum9n4kw2rv36yy9k6caqalmc5hkd7jrx9kuap24fzsjpzs6m7ts2x656u
161138,bostromvalcons1m8v2xscd3dz2ulw9rd0j6fmt6nwr9yv9ytag3k,bostromvalconspub1wm4yfuwlewynfjsdua7gfqfekcwrhn5st5sdn2tl33aravgsxffq8ctp3t
134043,bostromvalcons1c37enexqtzu3u8htgkt3mcxzysqx4a24pfxdat,bostromvalconspub1sqqj3520sjkk4f7n54e5gruh4dqz7eg3ttf28jqq0qgvlljxx4wsh8uprv
101033,bostromvalcons1tte9d82sud9xx35uyhtk2e24dm0tajkh4c4uz0,bostromvalconspub14ud7c34fplq88ah29f63lgenawm6d8t0tu76ve0tucr5f05rq7eqpywkm8
77224,bostromvalcons1rymcwp9q8rh2pttlnh3q49vfwjzr647s65ptfw,bostromvalconspub1klr6art0y23z9ux8ru9zu0rn9ds46n5ldw2zru7k79aumg2knndsxjhfes
70536,bostromvalcons12wr57q9pt7ue2uawscp9huz8x0mkdv88e2pr5h,bostromvalconspub1uswczlnluxgn6srf0qh0s3erkug95ef9jz5gdwvhynqw3e6hseyscmdtky
29278,bostromvalcons12xqex2sd7e2f5477lllng0atncf5zwc0ttv5t7,bostromvalconspub1z5tz8447msf8lu44pkj57f4cx34u40lf3d9wgxykjn0053lv7fqqdzsr29
12623,bostromvalcons1snty637jegqpah36z2cujhsht4vqzwme4pycz3,bostromvalconspub1fuhv92fpf9g5nc3m3ujfuzekpyz45cks8ahn8yl6f4e9rjqwfwsqwwr0zu
